chave,pt-BR
# ─────────────────────────────────────────────────────────────────────────────
# RF-481 a RF-489 — Tabela de localização da interface.
#
# RF-489: este é um arquivo de DADOS EXTERNO, distribuído junto do programa e
# editável diretamente, sem recompilar e sem nenhuma etapa de exportação.
#
# RF-483: acrescentar um idioma de interface é acrescentar uma COLUNA aqui.
# Nesta versão só existe o português do Brasil (RF-487), mas o mecanismo é
# completo.
#
# RF-485: uma chave ausente aparece na interface como o próprio nome da chave,
# para tornar a falta visível.
#
# Campos com vírgula ou quebra de linha vão entre aspas.
# ─────────────────────────────────────────────────────────────────────────────

# Janela principal
app.title,Tradutor de tela
app.apply,Aplicar
app.donate,Apoiar o projeto
app.memory,"memória: {0} MB"

# Abas (V.1)
tab.basic,Configuração básica
tab.text,Texto
tab.additional,Configuração adicional
tab.translation,Tradução
tab.other,Outros
tab.quick,Configuração rápida
tab.debug,Depuração

# Aba 0 — configuração básica
basic.ocr,Motor de OCR
basic.show_ocr,Exibir resultado do OCR
basic.write_file,Gravar resultado em arquivo
basic.copy_clipboard,Copiar para a área de transferência
basic.service,Serviço de tradução
basic.dictionary,Usar dicionário
basic.dictionary_file,Arquivo de dicionário
basic.dictionary_word,Por palavra
basic.image_correction,Correção de imagem
basic.filter_rgb,Extrair por RGB
basic.filter_hsv,Extrair por HSV
basic.filter_threshold,Limiar
basic.erosion,Erosão
basic.preview,Ver resultado da imagem

# Aba 1 — texto
text.font,Fonte
text.size,Tamanho
text.color,Cor do texto
text.stroke1,Contorno 1
text.stroke2,Contorno 2
text.background,Fundo
text.restore_colors,Restaurar cores padrão
text.center,Centralizar
text.remove_spaces,Remover espaços do resultado do OCR
text.use_background,Usar cor de fundo
text.number_areas,Exibir número da área

# Aba 2 — configuração adicional
additional.capture,Captura de imagem
additional.active_window,Capturar da janela ativa
additional.scale,Ampliação
additional.attached_window,Capturar de janela anexada
additional.speed,Velocidade
additional.window,Janela de tradução
additional.always_on_top,Sempre no topo
additional.profile,Arquivo de configuração
additional.load,Carregar
additional.save,Salvar
additional.restore,Restaurar padrões
additional.advanced,Configuração avançada
additional.check_updates,Verificar a última versão ao iniciar
additional.start_basic,Abrir na aba básica

# Aba 3 — tradução
translation.source,Idioma de origem
translation.target,Idioma de destino
translation.speak,Ler em voz alta
translation.speak_wait,Aguardar o fim da leitura

# Aba 4 — outros
other.shortcuts,Atalhos
other.default,Padrão
other.clear,Limpar
other.help,Ajuda
other.manual,Manual
other.known_errors,Erros conhecidos
other.links,Links

# Aba 5 — configuração rápida
quick.step_color,Qual é a cor do texto que você quer traduzir?
quick.dark_text,Texto escuro
quick.light_text,Texto claro
quick.unknown,Não sei
quick.step_area,"Selecione na tela a área onde o texto aparece."
quick.step_confirm,Confira a área marcada.
quick.done,Pronto
quick.next,Avançar

# Área de OCR
area.title,Área de OCR
area.define,Definir área
area.clear,Limpar
area.none,"Nenhuma área definida. É preciso marcar ao menos uma para traduzir."
area.hint,"Marque na tela onde o texto aparece. A área fica salva e volta na próxima abertura."
area.selection_hint,"Arraste com o botão esquerdo para marcar a área. Botão direito cancela."

# Tradução
translate.start,Iniciar tradução
translate.stop,Parar tradução
translate.once,Traduzir uma vez
translate.running,traduzindo
translate.stopped,parado
translate.snapshot,Instantâneo

# Controle remoto (V.2)
remote.area,Área
remote.snapshot,Instantâneo
remote.start,Iniciar
remote.stop,Parar
remote.settings,Config.
remote.minimize,Minimizar

# Estado do sistema
system.title,Estado do sistema
system.ready,Pronto para traduzir.
system.unavailable,"Indisponíveis: {0}"
system.open_settings,Abrir configurações do sistema

# Mensagens
msg.no_area,"É preciso definir ao menos uma área de OCR antes de traduzir."
msg.no_engine,Nenhum motor de OCR disponível.
msg.applied,configuração aplicada e perfil salvo.
msg.applied_resumed,"configuração aplicada, perfil salvo, tradução retomada."
msg.apply_aborted,"o laço não parou no prazo: NADA foi aplicado."
msg.loop_stop_failed,"o laço não parou no prazo; tentando de novo no próximo comando."
msg.self_capture,"A janela de tradução está sobre uma área de OCR: ela será capturada e traduzida a si mesma. Mova-a para fora."
msg.translating,traduzindo…
msg.error,"erro: {0}"
msg.cycle_result,"{0} ms · {1} bloco(s) · {2} ida(s) à rede"

# Nomes das ações com atalho dedicado (RF-444).
shortcut.ToggleRealtimeTranslation,Iniciar/parar tradução em tempo real
shortcut.TranslateOnce,Traduzir uma vez
shortcut.SnapshotArea,Área instantânea
shortcut.QuickArea,Área rápida
shortcut.OpenDictionaryEditor,Abrir editor de dicionário
shortcut.ToggleTranslationWindow,Ocultar/exibir janela de tradução
shortcut.ToggleMouseFollowArea,Alternar área que segue o mouse

# RF-486 — o aviso de reinício é exibido NA LÍNGUA NOVA.
ui.restart_required,"O idioma da interface só muda depois de reiniciar o programa."

# ─── Cap. 27 — depuração e diagnóstico (RF-490 a RF-500) ─────────────────────
debug.unlock_speed,Destravar velocidade
debug.show_cache,Mostrar resultados de cache
debug.one_line,Traduzir uma linha por vez
debug.word_areas,Mostrar áreas de palavra
debug.save_analysis,Salvar resultado de análise
debug.write_result,Gravar resultado em arquivo
debug.native_debug,Depurar pré-processamento
debug.native_replacements,Mostrar substituições
debug.native_save_capture,Salvar captura
debug.native_save_result,Salvar resultado da captura
debug.clear_memory,Limpar memória de resultados
debug.open_folder,Abrir pasta de diagnóstico
debug.counters,"OCR: {0} · traduções: {1} · rede: {2} · erros: {3}"
msg.memory_cleared,Memória de resultados apagada.
msg.memory_busy,"Há uma gravação em curso; tente de novo em instantes."
msg.analysis_saved,"Retrato de análise gravado: {0}"

# ─── V.3 — opções avançadas: rótulos dos controles deslizantes (RF-526) ──────
llm.thinking.0,Desligado
llm.thinking.1,Mínimo
llm.thinking.2,Médio
llm.thinking.3,Alto

# ─── V.5 — menu de contexto do modo camada (RF-545) ──────────────────────────
layer.menu.order_default,Ordenação: padrão
layer.menu.order_center,Ordenação: centralizado
layer.menu.remove_spaces,Remover espaços
layer.menu.forced_transparency,Transparência forçada
layer.menu.close,Fechar

# ─── V.3 — janela de opções avançadas (RF-523 a RF-532) ──────────────────────
advanced.title,Opções avançadas
advanced.tab.app,Aplicativo
advanced.tab.shortcuts,Atalhos avançados
advanced.tab.window,Janela de tradução
advanced.tab.collection,Coletânea de tradução
advanced.tab.translation,Tradução
advanced.tab.ocr,OCR
advanced.tab.dictionary,Dicionário
advanced.apply,Aplicar
advanced.restore,Restaurar padrões
advanced.close,Fechar
advanced.restore_confirm,"Restaurar todos os padrões? As opções avançadas atuais serão perdidas."
advanced.applied,Opções aplicadas.
advanced.restored,"Padrões restaurados. Use aplicar para gravá-los."

app.general,Geral
app.tray_mode,Modo bandeja
app.right_to_left,Texto da direita para a esquerda
app.remote_always_on_top,Controle remoto sempre no topo
app.mouse_follow,Área que segue o mouse
app.mouse_compatible,Modo compatível
app.mouse_only,Usar somente essa área
app.window_capture,Captura de janela
app.capture_border,Borda amarela na janela capturada
app.selection_colors,Cores da seleção de área
app.selection_background,Fundo
app.selection_highlight,Destaque
app.selection_preview,Pré-visualizar
app.selection_restore,Restaurar cores

window.overlay,Sobreposição
window.auto_font_size,Tamanho automático de fonte
window.merge_lines,Fusão automática de blocos
window.preserve_orientation,Preservar direção do original
window.font_stroke,Usar contorno de fonte
window.background_transparency,Usar transparência do fundo
window.auto_color,Cor automática
window.auto_font_color,Cor de fonte automática
window.auto_background_color,Cor de fundo automática
window.min_size,Tamanho mínimo
